code,name,連動対象,取引値,売買単位,運用会社,信託報酬（税抜）
1670,MAXIS S&P三菱系企業群上場投信,S&P企業グループ三菱系企業群,129,100,三菱UFJ国際,0.50%
2567,NZAM 上場投信 S&P/JPXカーボン・エフィシェント指数,S&P/JPX カーボン,255,10,農中全共連,0.12%
1319,(NEXT FUNDS)日経300株価指数連動型上場投信,日経300,373,1000,野村,0.51%
1357,(NEXT FUNDS) 日経ダブルインバース上場投信,日経平均ダブルインバース,407,1,野村,0.80%
1344,MAXIS トピックス･コア30上場投信,TOPIX Core30,847,10,三菱UFJ国際,0.19%
1311,(NEXT FUNDS)TOPIX Core30連動型上場投信,TOPIX Core30,913,10,野村,0.19%
1472,(NEXT FUNDS)JPX日経400ダブルインバース,JPX日経400ダブルインバース,922,1,野村,0.80%
2516,東証マザーズETF,東証マザーズ指数,969,10,シンプレクス,0.50%
1360,日経平均ベア2倍上場投信,日経平均ダブルインバース,990,10,シンプレクス,0.75%
2510,(NEXT FUNDS)国内債券・NOMURA-BPI総合,NOMURA-BPI総合,992,10,野村,0.07%
1571,(NEXT FUNDS)日経平均インバース上場投信,日経平均インバース,995,1,野村,0.80%
1651,ダイワ 上場投信-TOPIX高配当40指数,TOPIX高配当40,"1,004",10,大和,0.19%
2529,(NEXT FUNDS)野村株主還元70連動型上場投信,野村株主還元70,"1,043",1,野村,0.28%
1366,ダイワ 上場投信-日経平均ダブルインバース,日経平均ダブルインバース,"1,062",1,大和,0.75%
2566,上場インデックスファンド日経ESGリート,日経ESG-REIT,"1,087",10,日興,0.15%
2565,グローバルX ロジスティクス・J-REIT_,東証REIT物流フォーカス,"1,094",1,グローバル X,0.59%
2518,(NEXT FUNDS) MSCI日本株女性活躍(セレクト)上場投信,MSCI日本株女性活躍セレクト,"1,120",1,野村,0.15%
2517,MAXIS Jリート･コア上場投信,東証REIT Core,"1,135",10,三菱UFJ国際,0.25%
2527,NZAM 上場投信 東証REIT Core指数,東証REIT Core,"1,140",10,農中全共連,0.24%
2528,ダイワ上場投信-東証REIT Core指数,東証REIT Core,"1,145",10,大和,0.20%
1356,TOPIXベア2倍上場投信,TOPIXダブルインバース(-2倍),"1,230",10,シンプレクス,0.75%
1654,ダイワ 上場投信-FTSE Blossom Japan Index,FTSE Blossom Japan,"1,458",10,大和,0.15%
1585,ダイワ 上場投信･TOPIX Ex-Financials,TOPIX Ex-Financials,"1,520",10,大和,0.18%
1399,上場MSCI日本株高配当低ボラティリティ,MSCIジャパン低ボラティリティ,"1,537",10,日興,0.35%
1592,上場インデックス JPX日経インデックス400,JPX日経インデックス400,"1,602",1,日興,0.10%
1459,楽天 ETF-日経ダブルインバース指数連動型,日経平均ダブルインバース,"1,619",1,楽天,0.35%
1698,上場インデックスファンド日本高配当,東証配当フォーカス100,"1,680",10,日興,0.28%
1586,上場インデックス TOPIX Ex-Financials,TOPIX Ex-Financials,"1,713",1,日興,0.09%
1596,NZAM 上場投信 TOPIX Ex-Financials,TOPIX Ex-Financials,"1,736",10,農中全共連,0.11%
1368,ダイワ 上場投信-TOPIX Wインバース(-2倍),TOPIXダブルインバース(-2倍),"1,787",1,大和,0.75%
2564,グローバルX MSCIスーパーディビィデンド-日本株式_,MSCIジャパン高配当セレクト25,"1,790",1,グローバル X,0.39%
1483,iシェアーズ JPX/S&P 設備･人材投資ETF,JPX/S&P 設備・人材投資,"1,864",1,ブラックロック,0.19%
1484,One ETF JPX/S&P 設備･人材投資指数,JPX/S&P 設備・人材投資,"1,871",10,アセマネOne,0.17%
1477,iシェアーズ MSCI 日本株最小分散 ETF,MSCI 日本株最小分散,"1,872",1,ブラックロック,0.19%
1481,上場インデックスファンド日本経済貢献株,JPX/S&P 設備・人材投資,"1,894",1,日興,0.35%
1345,上場インデックスファンドJリート隔月分配,東証REIT指数,"1,965",100,日興,0.30%
2555,東証REIT ETF,東証REIT指数,"1,966",10,シンプレクス,0.25%
1595,NZAM 上場投信 東証REIT指数,東証REIT指数,"1,967",10,農中全共連,0.25%
2556,One ETF 東証REIT指数,東証REIT指数,"1,973",10,アセマネOne,0.16%
1398,SMDAM 東証REIT指数上場投信,東証REIT指数,"1,980",10,三井住友DS,0.22%
1476,iシェアーズ・コア Ｊリート ETF,東証REIT指数,"1,989",1,ブラックロック,0.16%
1597,MAXIS Jリート上場投信,東証REIT指数,"1,989",10,三菱UFJ国際,0.25%
1488,ダイワ上場投信-東証REIT指数,東証REIT指数,"2,000",10,大和,0.16%
2552,上場Ｊリート(東証REIT指数)隔月分配(ミニ),東証REIT指数,"2,055",1,日興,0.25%
1478,iシェアーズ MSCI ジャパン高配当利回り ETF,MSCI ジャパン高配当利回り,"2,056",1,ブラックロック,0.19%
1343,(NEXT FUNDS)東証REIT指数連動型上場投信,東証REIT指数,"2,071",10,野村,0.16%
2626,グローバルX デジタル・イノベーション-日本株式,Solactive Digital Innovation,"2,160",1,グローバル X,0.59%
2627,グローバルX eコマース-日本株式,Indxx Japan E-Commerce,"2,280",1,グローバル X,0.59%
1469,JPX日経400ベア2倍上場投信ダブルインバース,JPX日経400ダブルインバース,"2,288",10,シンプレクス,0.75%
1466,ダイワ上場投信-JPX日経400ダブルインバース,JPX日経400ダブルインバース,"2,295",1,大和,0.75%
1569,TOPIXベア上場投信,TOPIXインバース（-1倍）,"2,303",10,シンプレクス,0.75%
1652,ダイワ 上場投信-MSCI日本株女性活躍指数(WIN),MSCI日本株女性活躍,"2,377",10,大和,0.15%
1653,ダイワ 上場投信-MSCIジャパンESGセレクト･R指数,MSCIジャパンESG,"2,464",10,大和,0.15%
1580,日経平均ベア上場投信,日経平均インバース,"2,653",10,シンプレクス,0.75%
2561,iシェアーズ・コア 日本国債 ETF,FTSE日本国債,"2,703",1,ブラックロック,0.06%
1553,MAXIS S&P東海上場投信,S&P日本地域別指数-東海-,"2,981",10,三菱UFJ国際,0.50%
1563,マザーズ･コア上場投信,東証マザーズCore指数,"3,245",1,シンプレクス,0.50%
1471,(NEXT FUNDS)JPX日経400インバース,JPX日経400インバース,"3,460",1,野村,0.80%
1456,ダイワ 上場投信-日経平均インバース,日経平均インバース,"4,285",1,大和,0.75%
1551,JASDAQ-TOP20上場投信,JASDAQ-TOP20,"5,120",10,シンプレクス,0.50%
1468,JPX日経400ベア上場投信インバース,JPX日経400インバース,"5,130",10,シンプレクス,0.75%
1465,ダイワ上場投信-JPX日経400インバース,JPX日経400インバース,"5,350",1,大和,0.75%
1457,ダイワ 上場投信-TOPIXインバース（-1倍）,TOPIXインバース（-1倍）,"5,510",1,大和,0.75%
1490,上場MSCI日本株高配当低ボラティリティ(βH),MSCIジャパンLS85+円15,"7,660",10,日興,0.45%
1499,MAXIS 日本株高配当70マーケットニュートラル,野村日本株高配当70MN,"7,940",1,三菱UFJ国際,0.40%
2048,NEXT NOTES 野村日本株高配当70(ドルH、NR)ETN,野村日株高配70・米ドルH(NTR),"10,220",1,野村證券,0.85%
2070,スマート ESG30 女性活躍(ネットリターン)ETN,ジャパン女性活躍 30,"10,550",1,三菱UFJ M・S証券,0.85%
2072,トップシェアインデックス(ネットリターン)ETN,ジャパントップシェア,"10,770",1,三菱UFJ M・S証券,0.85%
2071,スマート ESG30 総合(ネットリターン)ETN_,ジャパンESG 30,"10,800",1,三菱UFJ M・S証券,0.85%
1660,MAXIS高利回りJリート上場投信,野村高利回りJリート,"10,960",1,三菱UFJ国際,0.25%
2050,NEXT NOTES ニッチトップ中小型日本株(NR)ETN,ニッチトップ,"11,730",1,野村證券,0.85%
2066,NEXT NOTES 東証REIT（ドルH、NR）ETN,配当込東証REIT米ドルH,"12,160",1,野村證券,0.85%
2065,NEXT NOTES 日本株配当貴族（ドルH、NR）ETN,S&P/JPX 配貴(米ドルH、配当込),"12,180",1,野村證券,0.85%
2067,NEXT NOTES 野村AI ビジネス70(NR)ETN,野村AIビジネス70,"12,200",1,野村證券,0.85%
2069,NEXT NOTES 低ベータ50(NR)ETN,野村日本株低ベータ・セレクト50,"12,380",1,野村證券,0.85%
2068,NEXT NOTES 高ベータ30(NR)ETN,野村日本株高ベータ・セレクト30,"12,570",1,野村證券,0.85%
2042,NEXT NOTES 東証マザーズ ETN,東証マザーズ指数,"13,440",1,野村證券,0.50%
1467,JPX日経400ブル2倍上場投信レバレッジ,JPX日経400レバレッジ,"13,880",10,シンプレクス,0.75%
1498,One ETF ESG,FTSE Blossom Japan,"14,440",1,アセマネOne,0.13%
1464,ダイワ上場投信-JPX日経400レバレッジ,JPX日経400レバレッジ,"14,540",1,大和,0.75%
1492,MAXIS JPX日経中小型株指数上場投信,JPX日経中小型株,"15,380",1,三菱UFJ国際,0.50%
1493,One ETF JPX日経中小型,JPX日経中小型株,"15,400",1,アセマネOne,0.50%
1591,(NEXT FUNDS) JPX日経インデックス400,JPX日経インデックス400,"17,510",1,野村,0.20%
1474,One ETF JPX日経400,JPX日経インデックス400,"17,570",1,アセマネOne,0.17%
1599,ダイワ 上場投信-JPX日経400_,JPX日経インデックス400,"17,700",1,大和,0.18%
1364,ｉシェアーズ JPX日経400 ETF,JPX日経インデックス400,"17,710",1,ブラックロック,0.12%
2526,NZAM 上場投信 JPX日経400,JPX日経インデックス400,"17,870",1,農中全共連,0.12%
1593,MAXIS JPX日経インデックス400上場投信_,JPX日経インデックス400,"17,880",1,三菱UFJ国際,0.08%
1367,ダイワ 上場投信-TOPIXレバレッジ(2倍),TOPIXレバレッジ（2倍）指数,"18,100",1,大和,0.75%
1494,One ETF 高配当日本株,S&P/JPX配当貴族,"18,750",1,アセマネOne,0.28%
1480,(NEXT FUNDS)野村企業価値分配指数上場投信,野村企業価値分配,"19,390",1,野村,0.23%
1598,(NEXT FUNDS)R/Nファンダメンタル上場投信,R/Nファンダメンタル・プライム,"19,770",1,野村,0.30%
1458,楽天 ETF-日経レバレッジ指数連動型,日経平均レバレッジ,"19,960",1,楽天,0.35%
1312,小型コア･インデックス連動型上場投信,R/N Small Cap Core,"21,120",1,野村,0.50%
1577,(NEXT FUNDS)野村日本株高配当70連動型ETF,野村日本株高配当70,"21,700",1,野村,0.32%
1568,TOPIXブル2倍上場投信,TOPIXレバレッジ（2倍）指数,"23,290",10,シンプレクス,0.75%
1479,ダイワ 上場投信-MSCI日本株人材設備投資指数,MSCI日本株人材設備,"23,420",1,大和,0.15%
1460,MAXIS JAPAN クオリティ150上場投信,iSTOXX Jクオ150,"23,800",1,三菱UFJ国際,0.24%
1470,(NEXT FUNDS)JPX日経400レバレッジ,JPX日経400レバレッジ,"25,200",1,野村,0.80%
2560,MAXISカーボン・エフィシェント日本株上場投信,S&P/JPX カーボン,"25,740",1,三菱UFJ国際,0.13%
1365,ダイワ 上場投信-日経平均レバレッジ,日経平均レバレッジ,"26,340",1,大和,0.75%
1485,MAXIS JAPAN 設備･人材積極投資企業200上場投信,iSTOXX 積極投資企業200,"30,900",1,三菱UFJ国際,0.22%
1358,上場インデックス日経レバレッジ指数,日経平均レバレッジ,"31,900",1,日興,0.71%
1489,(NEXT FUNDS)日経平均高配当株50指数連動型ETF,日経平均高配当株50,"33,250",1,野村,0.28%
1570,(NEXT FUNDS)日経平均レバレッジ上場投信,日経平均レバレッジ,"34,300",1,野村,0.80%
1579,日経平均ブル2倍上場投信,日経平均レバレッジ,"36,550",10,シンプレクス,0.75%